,Country,Tender
0,Austria,135205
1,Belgium,106847
2,Bulgaria,198439
3,Croatia,236320
4,Cyprus,9925
5,Czech Republic,283032
6,Denmark,52290
7,Estonia,119964
8,EU Institutions,189075
9,Finland,69002
10,France,2800000
11,Georgia,381127
12,Germany,576932
13,Greece,63819
14,Hungary,213851
15,Iceland,3116
16,Ireland,142129
17,Italy,14000000
18,Latvia,160242
19,Lithuania,202288
20,Luxembourg,10024
21,Malta,8950
22,Netherlands,132879
23,Norway,276538
24,Poland,2900000
25,Portugal,1500000
26,Romania,21100000
27,Slovakia,548191
28,Slovenia,143278
29,Spain,2400000
30,Sweden,132373
31,Switzerland,125240
32,United Kingdom,539999
